status,gene-symbol,UMLS_by_symbol,gene-name,UMLS_by_name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,HLA-G,C0082920,"major histocompatibility complex, class I, G",C0441885,,6,Genetic Association,2.0,0,,4
9,HMGN1,C1333912,high mobility group nucleosome binding domain 1,C0205250,,21,Genetic Association,2.0,0,,1
9,HNRNPD,C1415638,heterogeneous nuclear ribonucleoprotein D,C0019409,,4,"Rare Single Gene Mutation, Syndromic",2.0,1,,5
9,HNRNPF,C1415641,heterogeneous nuclear ribonucleoprotein F,C0019409,,10,Rare Single Gene Mutation,2.0,0,,4
9,HNRNPH2,C1845100,heterogeneous nuclear ribonucleoprotein H2,C0019409,,X,"Rare Single Gene Mutation, Syndromic",1.0,0,,22
9,HNRNPK,C1415645,heterogeneous nuclear ribonucleoprotein K,C0019409,,9,"Rare Single Gene Mutation, Syndromic",2.0,1,,13
9,HNRNPR,C1415648,heterogeneous nuclear ribonucleoprotein R,C0019409,,1,"Rare Single Gene Mutation, Syndromic, Functional",2.0,1,,8
9,HNRNPU,C1415649,heterogeneous nuclear ribonucleoprotein U,C0019409,,1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,1,38.8,42
9,HNRNPUL2,C1825522,heterogeneous nuclear ribonucleoprotein U like 2,C0019409,,11,"Rare Single Gene Mutation, Syndromic",2.0,1,,4
9,HOMER1,C1424986,Homer homolog 1 (Drosophila),C0013138,,5,"Rare Single Gene Mutation, Functional",2.0,0,,6
9,HOXA1,C1415653,homeobox A1,C1415653,,7,"Rare Single Gene Mutation, Syndromic, Genetic Association",,1,,16
9,HRAS,C0079471,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,C1336966,,11,"Rare Single Gene Mutation, Syndromic, Genetic Association",1.0,0,,12
9,HS3ST5,C1426230,heparan sulfate (glucosamine) 3-O-sulfotransferase 5,C0019143,,6,"Rare Single Gene Mutation, Genetic Association",2.0,0,,8
9,HSD11B1,C1415736,hydroxysteroid (11-beta) dehydrogenase 1,C0020393,,1,"Rare Single Gene Mutation, Syndromic",2.0,0,,9
9,HTR1B,C1415804,5-hydroxytryptamine (serotonin) receptor 1B,C0036751,,6,"Rare Single Gene Mutation, Genetic Association",2.0,0,,6
