ID,gene_symbol,Gene title,string_protein_id,uniprot_id,source
1554377_a_at,CNTNAP4,contactin associated protein like 4,9606.ENSP00000479811,,
1554378_a_at,PDE1C,phosphodiesterase 1C,9606.ENSP00000379496,,
1554379_a_at,TP73,tumor protein p73,9606.ENSP00000367545,,
1554380_at,NEK11,NIMA related kinase 11,9606.ENSP00000372857,,
1554382_at,LINC00656,long intergenic non-protein coding RNA 656,,,
1554383_a_at,TRAM2,translocation associated membrane protein 2,9606.ENSP00000182527,,
1554384_at,PADI2,peptidyl arginine deiminase 2,9606.ENSP00000364635,,
1554385_a_at,PADI2,peptidyl arginine deiminase 2,9606.ENSP00000364635,,
1554386_at,CST9,cystatin 9,9606.ENSP00000366170,,
1554388_at,VPS29,"VPS29, retromer complex component",9606.ENSP00000480853,,
1554390_s_at,ACTR2,ARP2 actin related protein 2 homolog,9606.ENSP00000367220,,
1554391_at,LOC653581,uncharacterized LOC653581,,,
1554393_a_at,AZIN2,antizyme inhibitor 2,9606.ENSP00000362540,,
1554394_at,NELL1,neural EGFL like 1,9606.ENSP00000298925,,
1554396_at,UEVLD,UEV and lactate/malate dehyrogenase domains,9606.ENSP00000379500,,
1554397_s_at,UEVLD,UEV and lactate/malate dehyrogenase domains,9606.ENSP00000379500,,
1554398_at,LYG2,lysozyme g2,9606.ENSP00000327533,,
1554400_at,TCTE3,t-complex-associated-testis-expressed 3,9606.ENSP00000355736,,
1554401_a_at,TCTE3,t-complex-associated-testis-expressed 3,9606.ENSP00000355736,,
1554405_a_at,LINC00161,long intergenic non-protein coding RNA 161,,,
1554406_a_at,CLEC7A,C-type lectin domain family 7 member A,9606.ENSP00000302569,,
1554408_a_at,TK1,thymidine kinase 1,9606.ENSP00000468425,,
1554409_at,RCC1L,RCC1 like,9606.ENSP00000480364,,
1554410_a_at,RCC1L,RCC1 like,9606.ENSP00000480364,,
1554411_at,CTNNB1,catenin beta 1,9606.ENSP00000495360,,
1554413_s_at,SNX29P2,sorting nexin 29 pseudogene 1///sorting nexin 29 pseudogene 2,,,
1554414_a_at,OSGIN2,oxidative stress induced growth inhibitor family member 2,9606.ENSP00000396445,,
1554415_at,TAF5L,TATA-box binding protein associated factor 5 like,9606.ENSP00000258281,,
1554417_s_at,APH1A,"aph-1 homolog A, gamma-secretase subunit",9606.ENSP00000358105,,
1554418_s_at,SPOCK3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3",9606.ENSP00000349677,,
1554419_x_at,GGNBP2,gametogenetin binding protein 2,9606.ENSP00000478220,,
1554420_at,ATF3,activating transcription factor 3,9606.ENSP00000344352,,
1554423_a_at,FBXO7,F-box protein 7,9606.ENSP00000266087,,
1554424_at,FIP1L1,factor interacting with PAPOLA and CPSF1,9606.ENSP00000336752,,
1554428_s_at,NLGN2,neuroligin 2,9606.ENSP00000305288,,
1554429_a_at,DMWD,"dystrophia myotonica, WD repeat containing",9606.ENSP00000270223,,
1554430_at,SMIM11A,small integral membrane protein 11A,9606.ENSP00000485484,,
1554430_at,SMIM11A,small integral membrane protein 11A,9606.ENSP00000498771,,
1554432_x_at,SMIM11A,small integral membrane protein 11A,9606.ENSP00000485484,,
1554432_x_at,SMIM11A,small integral membrane protein 11A,9606.ENSP00000498771,,
1554433_a_at,ZNF146,zinc finger protein 146,9606.ENSP00000400391,,
1554436_a_at,REG4,regenerating family member 4,9606.ENSP00000346158,,
1554438_at,KIAA1217,KIAA1217,9606.ENSP00000365637,,
1554440_at,KIAA0513,KIAA0513,9606.ENSP00000457408,,
1554441_a_at,WAPL,WAPL cohesin release factor,9606.ENSP00000298767,,
1554442_at,BEST1,bestrophin 1,9606.ENSP00000399709,,
1554443_s_at,BEST1,bestrophin 1,9606.ENSP00000399709,,
1554444_s_at,SLC35F6,solute carrier family 35 member F6,9606.ENSP00000345528,,
1554445_at,ZNF85,zinc finger protein 85,9606.ENSP00000329793,,
1554447_at,JPX,"JPX transcript, XIST activator (non-protein coding)",,,
1554448_at,JPX,"JPX transcript, XIST activator (non-protein coding)",,,
1554449_at,MIER3,MIER family member 3,9606.ENSP00000370624,,
1554450_s_at,MIER3,MIER family member 3,9606.ENSP00000370624,,
1554451_s_at,DNAJC14,DnaJ heat shock protein family (Hsp40) member C14,9606.ENSP00000350223,,
1554452_a_at,HILPDA,hypoxia inducible lipid droplet associated,9606.ENSP00000257696,,
1554453_at,HNRNPLL,heterogeneous nuclear ribonucleoprotein L like,9606.ENSP00000390625,,
1554455_at,LINS1,lines homolog 1,9606.ENSP00000318423,,
1554456_a_at,LINS1,lines homolog 1,9606.ENSP00000318423,,
1554459_s_at,CFHR3,complement factor H related 3,9606.ENSP00000356395,,
1554460_at,ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",9606.ENSP00000231461,,
1554462_a_at,DNAJB9,DnaJ heat shock protein family (Hsp40) member B9,9606.ENSP00000249356,,
1554464_a_at,CRTAP,cartilage associated protein,9606.ENSP00000323696,,
1554465_s_at,KRBOX4,zinc finger protein 674///KRAB box domain containing 4,9606.ENSP00000345797,,
1554466_a_at,METTL26,methyltransferase like 26,9606.ENSP00000440765,,
1554468_s_at,FBF1,Fas binding factor 1,9606.ENSP00000490726,,
1554469_at,ZBTB44,zinc finger and BTB domain containing 44,9606.ENSP00000350574,,
1554470_s_at,ZBTB44,zinc finger and BTB domain containing 44,9606.ENSP00000350574,,
1554471_a_at,ANKRD13C,ankyrin repeat domain 13C,9606.ENSP00000359982,,
1554472_a_at,PHF20L1,PHD finger protein 20-like 1,9606.ENSP00000378784,,
1554473_at,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1,9606.ENSP00000347198,,
1554474_a_at,MOXD1,monooxygenase DBH like 1,9606.ENSP00000356940,,
1554475_a_at,C19orf47,chromosome 19 open reading frame 47,9606.ENSP00000463159,,
1554476_x_at,ZNF808,zinc finger protein 808,9606.ENSP00000352846,,
1554478_a_at,HEATR3,HEAT repeat containing 3,9606.ENSP00000299192,,
1554479_a_at,CARD8,caspase recruitment domain family member 8,9606.ENSP00000499211,,
1554480_a_at,ARMC10,armadillo repeat containing 10,9606.ENSP00000319412,,
1554481_a_at,EPB41,erythrocyte membrane protein band 4.1,9606.ENSP00000345259,,
1554482_a_at,SAR1B,secretion associated Ras related GTPase 1B,9606.ENSP00000385432,,
1554483_at,TMEM37,transmembrane protein 37,9606.ENSP00000303148,,
1554485_s_at,TMEM37,transmembrane protein 37,9606.ENSP00000303148,,
1554486_a_at,GFOD1,glucose-fructose oxidoreductase domain containing 1,9606.ENSP00000368589,,
1554487_a_at,ATF6B,activating transcription factor 6 beta,9606.ENSP00000364349,,
1554488_at,CEP70,centrosomal protein 70,9606.ENSP00000264982,,
1554489_a_at,CEP70,centrosomal protein 70,9606.ENSP00000264982,,
1554491_a_at,SERPINC1,serpin family C member 1,9606.ENSP00000356671,,
1554492_at,THADA,"THADA, armadillo repeat containing",9606.ENSP00000385995,,
1554493_s_at,THADA,"THADA, armadillo repeat containing",9606.ENSP00000385995,,
1554494_at,MTHFSD,methenyltetrahydrofolate synthetase domain containing,9606.ENSP00000354152,,
1554495_s_at,MTHFSD,methenyltetrahydrofolate synthetase domain containing,9606.ENSP00000354152,,
1554496_at,RAD51B,RAD51 paralog B,9606.ENSP00000419881,,
1554499_s_at,PPA2,pyrophosphatase (inorganic) 2,9606.ENSP00000343885,,
1554500_a_at,RGS7,regulator of G-protein signaling 7,9606.ENSP00000355523,,
1554501_at,TSC22D4,TSC22 domain family member 4,9606.ENSP00000300181,,
1554503_a_at,OSCAR,"osteoclast associated, immunoglobulin-like receptor",9606.ENSP00000479089,,
1554504_at,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,9606.ENSP00000432481,,
1554506_x_at,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,9606.ENSP00000432481,,
1554507_at,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,9606.ENSP00000432481,,
1554508_at,PIK3AP1,phosphoinositide-3-kinase adaptor protein 1,9606.ENSP00000339826,,
1554509_a_at,FAM188A,family with sequence similarity 188 member A,9606.ENSP00000277632,,
1554510_s_at,GHITM,growth hormone inducible transmembrane protein,9606.ENSP00000361207,,
1554511_at,WWC1,WW and C2 domain containing 1,9606.ENSP00000427772,,
1554512_a_at,CEP89,centrosomal protein 89,9606.ENSP00000306105,,
1554513_s_at,CEP89,centrosomal protein 89,9606.ENSP00000306105,,
1554514_at,ACSM5,acyl-CoA synthetase medium-chain family member 5,9606.ENSP00000327916,,
1554516_at,LINC00537,long intergenic non-protein coding RNA 537,,,
1554517_x_at,LINC00537,long intergenic non-protein coding RNA 537,,,
1554518_at,GSTCD,glutathione S-transferase C-terminal domain containing,9606.ENSP00000422354,,
1554519_at,CD80,CD80 molecule,9606.ENSP00000264246,,
1554520_at,LOC283861,uncharacterized LOC283861,,,
1554522_at,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,9606.ENSP00000358894,,
1554523_a_at,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,9606.ENSP00000358894,,
1554524_a_at,OLFM3,olfactomedin 3,9606.ENSP00000345192,,
1554526_at,OLFM3,olfactomedin 3,9606.ENSP00000345192,,
1554528_at,MAATS1,MYCBP associated and testis expressed 1,9606.ENSP00000273390,,
1554530_at,VSTM2A,V-set and transmembrane domain containing 2A,9606.ENSP00000303108,,
1554531_at,TTC12,tetratricopeptide repeat domain 12,9606.ENSP00000419652,,
1554533_at,C2,complement component 2,9606.ENSP00000229330,,
1554533_at,C2,complement component 2,9606.ENSP00000299367,,
1554533_at,C2,complement component 2,9606.ENSP00000328677,,
1554533_at,C2,complement component 2,9606.ENSP00000334379,,
1554533_at,C2,complement component 2,9606.ENSP00000338885,,
1554533_at,C2,complement component 2,9606.ENSP00000347712,,
1554533_at,C2,complement component 2,9606.ENSP00000369755,,
1554533_at,C2,complement component 2,9606.ENSP00000369853,,
1554533_at,C2,complement component 2,9606.ENSP00000387882,,
1554533_at,C2,complement component 2,9606.ENSP00000389554,,
1554533_at,C2,complement component 2,9606.ENSP00000409937,,
1554533_at,C2,complement component 2,9606.ENSP00000443204,,
1554533_at,C2,complement component 2,9606.ENSP00000451291,,
1554534_at,DPYD,dihydropyrimidine dehydrogenase,9606.ENSP00000359211,,
1554536_at,DPYD,dihydropyrimidine dehydrogenase,9606.ENSP00000359211,,
1554537_at,TMEM126B,transmembrane protein 126B,9606.ENSP00000351737,,
1554538_at,RHOF,"ras homolog family member F, filopodia associated",9606.ENSP00000267205,,
1554539_a_at,RHOF,"ras homolog family member F, filopodia associated",9606.ENSP00000267205,,
1554540_at,DNAH14,dynein axonemal heavy chain 14,9606.ENSP00000383737,,
1554541_a_at,GPRIN2,G protein regulated inducer of neurite outgrowth 2,9606.ENSP00000363436,,
1554542_at,SLC25A48,solute carrier family 25 member 48,9606.ENSP00000493514,,
1554543_at,SPAG9,sperm associated antigen 9,9606.ENSP00000262013,,
1554544_a_at,MBP,myelin basic protein,9606.ENSP00000312134,,
1554544_a_at,MBP,myelin basic protein,9606.ENSP00000363079,,
1554544_a_at,MBP,myelin basic protein,9606.ENSP00000380958,,
1554545_at,APOBEC4,apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4,9606.ENSP00000310622,,
1554547_at,FAM13C,family with sequence similarity 13 member C,9606.ENSP00000481854,,
1554549_a_at,WDR20,WD repeat domain 20,9606.ENSP00000395793,,
1554550_at,CFAP97,cilia and flagella associated protein 97,9606.ENSP00000409964,,
1554550_at,CFAP97,cilia and flagella associated protein 97,9606.ENSP00000415662,,
1554550_at,CFAP97,cilia and flagella associated protein 97,9606.ENSP00000496151,,
1554553_s_at,YIF1B,"Yip1 interacting factor homolog B, membrane trafficking protein",9606.ENSP00000343435,,
1554554_at,CCDC57,coiled-coil domain containing 57,9606.ENSP00000376154,,
1554555_a_at,SETD6,SET domain containing 6,9606.ENSP00000219315,,
1554556_a_at,ATP11B,ATPase phospholipid transporting 11B (putative),9606.ENSP00000321195,,
1554557_at,ATP11B,ATPase phospholipid transporting 11B (putative),9606.ENSP00000321195,,
1554558_at,DCAF5,DDB1 and CUL4 associated factor 5,9606.ENSP00000341351,,
1554559_at,GPR62,G protein-coupled receptor 62,9606.ENSP00000319250,,
1554560_at,PGM5,phosphoglucomutase 5,9606.ENSP00000379678,,
1554564_a_at,SPPL3,signal peptide peptidase like 3,9606.ENSP00000288680,,
1554565_x_at,SPPL3,signal peptide peptidase like 3,9606.ENSP00000288680,,
1554566_at,KCTD17,potassium channel tetramerization domain containing 17,9606.ENSP00000385096,,
1554568_at,DYNLRB1,dynein light chain roadblock-type 1,9606.ENSP00000349679,,
1554569_a_at,CELF2,"CUGBP, Elav-like family member 2",9606.ENSP00000488422,,
1554571_at,APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein,9606.ENSP00000365411,,
1554572_a_at,SUV39H2,suppressor of variegation 3-9 homolog 2,9606.ENSP00000346997,,
1554574_a_at,CYB5R3,cytochrome b5 reductase 3,9606.ENSP00000354468,,
1554575_a_at,BPNT1,"3'(2'), 5'-bisphosphate nucleotidase 1",9606.ENSP00000446828,,
1554576_a_at,ETV4,ETS variant 4,9606.ENSP00000321835,,
1554577_a_at,PSMD10,"proteasome 26S subunit, non-ATPase 10",9606.ENSP00000217958,,
1554578_at,ZNF70,zinc finger protein 70,9606.ENSP00000339314,,
1554579_a_at,MYO18B,myosin XVIIIB,9606.ENSP00000386096,,
1554580_a_at,WWP2,WW domain containing E3 ubiquitin protein ligase 2,9606.ENSP00000352069,,
1554582_a_at,ETFBKMT,electron transfer flavoprotein beta subunit lysine methyltransferase,9606.ENSP00000350353,,
1554583_a_at,ETFBKMT,electron transfer flavoprotein beta subunit lysine methyltransferase,9606.ENSP00000350353,,
1554584_at,DRC3,dynein regulatory complex subunit 3,9606.ENSP00000201647,,
1554584_at,DRC3,dynein regulatory complex subunit 3,9606.ENSP00000382140,,
1554586_a_at,RHOBTB2,Rho related BTB domain containing 2,9606.ENSP00000427926,,
1554588_a_at,TTC30B,tetratricopeptide repeat domain 30B,9606.ENSP00000347915,,
1554588_a_at,TTC30B,tetratricopeptide repeat domain 30B,9606.ENSP00000386181,,
1554589_at,LENG9,leukocyte receptor cluster member 9,9606.ENSP00000479355,,
1554591_at,PCAT4,prostate cancer associated transcript 4 (non-protein coding),,,
1554592_a_at,SLC1A6,solute carrier family 1 member 6,9606.ENSP00000221742,,
1554593_s_at,SLC1A6,solute carrier family 1 member 6,9606.ENSP00000221742,,
1554594_at,ARHGAP27,Rho GTPase activating protein 27,9606.ENSP00000403323,,
1554595_at,SYMPK,symplekin,9606.ENSP00000245934,,
1554597_at,LIG3,DNA ligase 3,9606.ENSP00000326759,,
1554597_at,LIG3,DNA ligase 3,9606.ENSP00000367787,,
1554599_x_at,LIG3,DNA ligase 3,9606.ENSP00000326759,,
1554599_x_at,LIG3,DNA ligase 3,9606.ENSP00000367787,,
1554600_s_at,LMNA,lamin A/C,9606.ENSP00000357283,,
1554601_at,NKAIN2,Na+/K+ transporting ATPase interacting 2,9606.ENSP00000357402,,
1554602_at,RBM8A,RNA binding motif protein 8A,9606.ENSP00000463058,,
1554604_at,MBTPS2,"membrane bound transcription factor peptidase, site 2",9606.ENSP00000368798,,
1554606_at,CEP120,centrosomal protein 120,9606.ENSP00000303058,,
1554607_at,CNKSR2,connector enhancer of kinase suppressor of Ras 2,9606.ENSP00000368824,,
1554608_at,TGOLN2,trans-golgi network protein 2,9606.ENSP00000386443,,
1554609_at,LOC100287896,uncharacterized LOC100287896,,,
1554610_at,ANKMY1,ankyrin repeat and MYND domain containing 1,9606.ENSP00000385887,,
1554612_at,RUBCN,RUN and cysteine rich domain containing beclin 1 interacting protein,9606.ENSP00000296343,,
1554613_a_at,RUBCN,RUN and cysteine rich domain containing beclin 1 interacting protein,9606.ENSP00000296343,,
1554614_a_at,PTBP2,polypyrimidine tract binding protein 2,9606.ENSP00000359216,,
1554616_at,SERPINB8,serpin family B member 8,9606.ENSP00000331368,,
1554618_at,AGFG2,ArfGAP with FG repeats 2,9606.ENSP00000300176,,
1554619_at,MBLAC2,metallo-beta-lactamase domain containing 2,9606.ENSP00000314776,,
1554621_at,DGKE,diacylglycerol kinase epsilon,9606.ENSP00000284061,,
1554623_x_at,DGKE,diacylglycerol kinase epsilon,9606.ENSP00000284061,,
1554624_a_at,SIRPB1,signal regulatory protein beta 1,9606.ENSP00000371018,,
1554625_at,BCL6B,B-cell CLL/lymphoma 6B,9606.ENSP00000293805,,
1554627_a_at,ASCC1,activating signal cointegrator 1 complex subunit 1,9606.ENSP00000339404,,
1554628_at,ZNF57,zinc finger protein 57,9606.ENSP00000303696,,
1554629_at,EPHA7,EPH receptor A7,9606.ENSP00000358309,,
1554631_at,ATM,ATM serine/threonine kinase,9606.ENSP00000278616,,
1554631_at,ATM,ATM serine/threonine kinase,9606.ENSP00000299575,,
1554631_at,ATM,ATM serine/threonine kinase,9606.ENSP00000323099,,
1554633_a_at,MYT1L,myelin transcription factor 1 like,9606.ENSP00000497479,,
1554634_at,PDS5B,PDS5 cohesin associated factor B,9606.ENSP00000313851,,
1554635_a_at,NPAS3,neuronal PAS domain protein 3,9606.ENSP00000348460,,
1554637_a_at,CBFA2T2,CBFA2/RUNX1 translocation partner 2,9606.ENSP00000262653,,
1554638_at,ZFYVE16,zinc finger FYVE-type containing 16,9606.ENSP00000426848,,
1554640_at,PALM2,paralemmin 2,9606.ENSP00000363654,,
1554641_a_at,TET3,tet methylcytosine dioxygenase 3,9606.ENSP00000386869,,
1554642_at,RNF32,ring finger protein 32,9606.ENSP00000385285,,
1554643_at,RGS11,regulator of G-protein signaling 11,9606.ENSP00000380876,,
1554646_at,OSBPL1A,oxysterol binding protein like 1A,9606.ENSP00000320291,,
1554648_a_at,DUOXA1,dual oxidase maturation factor 1,9606.ENSP00000267803,,
1554652_s_at,MAST4,microtubule associated serine/threonine kinase family member 4,9606.ENSP00000385727,,
1554655_a_at,RPRML,reprimo like,9606.ENSP00000318032,,
1554657_a_at,CFAP61,cilia and flagella associated protein 61,9606.ENSP00000245957,,
1554659_at,NEK4,NIMA related kinase 4,9606.ENSP00000233027,,
1554660_a_at,CNST,"consortin, connexin sorting protein",9606.ENSP00000355470,,
1554661_s_at,CNST,"consortin, connexin sorting protein",9606.ENSP00000355470,,
1554662_at,C17orf47,chromosome 17 open reading frame 47,9606.ENSP00000354874,,
1554663_a_at,NUMA1,nuclear mitotic apparatus protein 1,9606.ENSP00000377298,,
1554664_at,NAIF1,nuclear apoptosis inducing factor 1,9606.ENSP00000362170,,
1554665_at,ZNF586,zinc finger protein 586,9606.ENSP00000379458,,
1554666_at,LOC100130950,uncharacterized LOC100130950,,,
1554667_s_at,METTL8,methyltransferase like 8,9606.ENSP00000480056,,
1554668_a_at,FAM151A,family with sequence similarity 151 member A,9606.ENSP00000306888,,
1554670_at,GGA1,"golgi associated, gamma adaptin ear containing, ARF binding protein 1",9606.ENSP00000371175,,
1554671_a_at,SRRM2,serine/arginine repetitive matrix 2,9606.ENSP00000301740,,
1554672_at,TTC26,tetratricopeptide repeat domain 26,9606.ENSP00000419279,,
1554675_a_at,SYCE1,synaptonemal complex central element protein 1,9606.ENSP00000303978,,
1554676_at,SRGN,serglycin,9606.ENSP00000242465,,
1554677_s_at,CMTM4,CKLF like MARVEL transmembrane domain containing 4,9606.ENSP00000333833,,
1554678_s_at,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like,9606.ENSP00000483254,,
1554679_a_at,LAPTM4B,lysosomal protein transmembrane 4 beta,9606.ENSP00000402301,,
1554680_s_at,KCNS2,potassium voltage-gated channel modifier subfamily S member 2,9606.ENSP00000287042,,
1554681_a_at,CCDC187,coiled-coil domain containing 187,9606.ENSP00000456543,,
1554683_a_at,CCDC187,coiled-coil domain containing 187,9606.ENSP00000456543,,
1554685_a_at,CEMIP,cell migration inducing hyaluronan binding protein,9606.ENSP00000378177,,
1554686_at,STAU2,staufen double-stranded RNA binding protein 2,9606.ENSP00000428756,,
1554689_a_at,NLGN4X,"neuroligin 4, X-linked",9606.ENSP00000370483,,
1554690_a_at,TACC1,transforming acidic coiled-coil containing protein 1,9606.ENSP00000321703,,
1554691_a_at,PACSIN2,protein kinase C and casein kinase substrate in neurons 2,9606.ENSP00000263246,,
1554692_at,SLC23A2,solute carrier family 23 member 2,9606.ENSP00000302851,,
1554692_at,SLC23A2,solute carrier family 23 member 2,9606.ENSP00000368637,,
1554694_at,CCNY,cyclin Y,9606.ENSP00000363836,,
1554696_s_at,TYMS,thymidylate synthetase,9606.ENSP00000315644,,
1554697_at,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,9606.ENSP00000418735,,
1554699_at,L3MBTL4,l(3)mbt-like 4 (Drosophila),9606.ENSP00000382976,,
1554700_at,CDH7,cadherin 7,9606.ENSP00000262150,,
1554700_at,CDH7,cadherin 7,9606.ENSP00000381058,,
1554701_a_at,TBC1D16,TBC1 domain family member 16,9606.ENSP00000309794,,
1554702_at,NALCN,"sodium leak channel, non-selective",9606.ENSP00000251127,,
1554703_at,ARHGEF10,Rho guanine nucleotide exchange factor 10,9606.ENSP00000431012,,
1554704_at,ATP8B3,ATPase phospholipid transporting 8B3,9606.ENSP00000311336,,
1554705_at,SCARA5,scavenger receptor class A member 5,9606.ENSP00000346990,,
1554706_at,OR2L13,olfactory receptor family 2 subfamily L member 13,9606.ENSP00000493075,,
1554707_at,SPATA6L,spermatogenesis associated 6 like,9606.ENSP00000417063,,
1554708_s_at,SPATA6L,spermatogenesis associated 6 like,9606.ENSP00000417063,,
1554710_at,KCNMB1,potassium calcium-activated channel subfamily M regulatory beta subunit 1,9606.ENSP00000274629,,
1554711_at,CALHM3,calcium homeostasis modulator 3,9606.ENSP00000358798,,
1554712_a_at,GLYATL2,glycine-N-acyltransferase like 2,9606.ENSP00000287275,,
1554714_at,RELL1,RELT like 1,9606.ENSP00000398778,,
1554715_at,LINC00593,long intergenic non-protein coding RNA 593,,,
1554716_s_at,LINC00593,long intergenic non-protein coding RNA 593,,,
1554717_a_at,PDE4D,phosphodiesterase 4D,9606.ENSP00000345502,,
1554719_at,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10,9606.ENSP00000252711,,
1554721_a_at,TAF2,TATA-box binding protein associated factor 2,9606.ENSP00000367406,,
1554722_at,TRPM3,transient receptor potential cation channel subfamily M member 3,9606.ENSP00000366314,,
1554724_at,SLC6A11,solute carrier family 6 member 11,9606.ENSP00000254488,,
1554725_at,RABGAP1L,RAB GTPase activating protein 1 like,9606.ENSP00000251507,,
1554726_at,ZNF655,zinc finger protein 655,9606.ENSP00000393876,,
1554728_at,SLC9A1,solute carrier family 9 member A1,9606.ENSP00000263980,,
1554730_at,MCTP1,multiple C2 and transmembrane domain containing 1,9606.ENSP00000424126,,
1554732_at,LOC728175,uncharacterized LOC728175,,,
1554733_at,LOC728175,uncharacterized LOC728175,,,
1554735_a_at,TRIM7,tripartite motif containing 7,9606.ENSP00000274773,,
1554736_at,ARHGAP29,Rho GTPase activating protein 29,9606.ENSP00000260526,,
1554737_at,FBN2,fibrillin 2,9606.ENSP00000424571,,
1554739_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000277517,,
1554739_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000321810,,
1554739_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000370748,,
1554739_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000376142,,
1554739_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000379739,,
1554740_a_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000277517,,
1554740_a_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000321810,,
1554740_a_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000370748,,
1554740_a_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000376142,,
1554740_a_at,IPP,intracisternal A particle-promoted polypeptide,9606.ENSP00000379739,,
1554741_s_at,FGF7,fibroblast growth factor 7 pseudogene 3///fibroblast growth factor 7 pseudogene 6///fibroblast growth factor 7,9606.ENSP00000267843,,
1554742_at,PMS1,"PMS1 homolog 1, mismatch repair system component",9606.ENSP00000265849,,
1554742_at,PMS1,"PMS1 homolog 1, mismatch repair system component",9606.ENSP00000406490,,
1554743_x_at,PMS1,"PMS1 homolog 1, mismatch repair system component",9606.ENSP00000265849,,
1554743_x_at,PMS1,"PMS1 homolog 1, mismatch repair system component",9606.ENSP00000406490,,
1554744_at,CARD16,caspase recruitment domain family member 16,9606.ENSP00000364858,,
1554745_at,RALGPS1,Ral GEF with PH domain and SH3 binding motif 1,9606.ENSP00000259351,,
1554747_a_at,SEPT2,septin 2,9606.ENSP00000341524,,
1554747_a_at,SEPT2,septin 2,9606.ENSP00000479861,,
1554748_at,CLCNKB,chloride voltage-gated channel Kb,9606.ENSP00000364831,,
1554749_s_at,CLCNKB,chloride voltage-gated channel Kb,9606.ENSP00000364831,,
1554755_a_at,MTUS2,microtubule associated tumor suppressor candidate 2,9606.ENSP00000498251,,
1554757_a_at,INPP5A,inositol polyphosphate-5-phosphatase A,9606.ENSP00000357583,,
1554758_a_at,CD99L2,CD99 molecule like 2,9606.ENSP00000480322,,
1554759_at,SRCIN1,SRC kinase signaling inhibitor 1,9606.ENSP00000484715,,
1554761_a_at,DNAAF5,dynein axonemal assembly factor 5,9606.ENSP00000297440,,
1554762_a_at,CLDN22,WW and C2 domain containing 2///claudin 22,9606.ENSP00000318113,,
1554763_at,UBE2DNL,ubiquitin conjugating enzyme E2 D N-terminal like (pseudogene),,,
1554764_a_at,LINC00301,long intergenic non-protein coding RNA 301,,,
1554765_a_at,LINC00301,long intergenic non-protein coding RNA 301,,,
1554767_s_at,CRYZL1,crystallin zeta like 1,9606.ENSP00000370966,,
1554768_a_at,MAD2L1,MAD2 mitotic arrest deficient-like 1 (yeast),9606.ENSP00000296509,,
1554768_a_at,MAD2L1,MAD2 mitotic arrest deficient-like 1 (yeast),9606.ENSP00000410818,,
1554769_at,ZNF785,zinc finger protein 785,9606.ENSP00000378642,,
1554770_x_at,ZNF785,zinc finger protein 785,9606.ENSP00000378642,,
1554772_at,EFCAB13,EF-hand calcium binding domain 13,9606.ENSP00000332111,,
1554773_at,WFIKKN2,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2",9606.ENSP00000311184,,
1554774_at,MINA,MYC induced nuclear antigen,9606.ENSP00000328251,,
1554776_at,ZFP42,ZFP42 zinc finger protein,9606.ENSP00000317686,,
1554777_at,ZFP42,ZFP42 zinc finger protein,9606.ENSP00000317686,,
1554778_at,PHLDB2,pleckstrin homology like domain family B member 2,9606.ENSP00000405405,,
1554779_s_at,PHLDB2,pleckstrin homology like domain family B member 2,9606.ENSP00000405405,,
1554780_a_at,PHTF2,putative homeodomain transcription factor 2,9606.ENSP00000403042,,
1554781_at,MGC32805,uncharacterized LOC153163,,,
1554782_at,KLHL30-AS1,KLHL30 antisense RNA 1,,,
1554783_s_at,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2,9606.ENSP00000354837,,
1554784_at,CNTN1,contactin 1,9606.ENSP00000447006,,
1554785_at,CCDC82,coiled-coil domain containing 82,9606.ENSP00000495063,,
1554786_at,CASS4,Cas scaffolding protein family member 4,9606.ENSP00000353462,,
1554787_at,STKLD1,serine/threonine kinase like domain containing 1,9606.ENSP00000361025,,
1554789_a_at,PDE8B,phosphodiesterase 8B,9606.ENSP00000264917,,
1554789_a_at,PDE8B,phosphodiesterase 8B,9606.ENSP00000493971,,
