ID,gene_symbol,Gene title,string_protein_id,uniprot_id,source
1552335_at,CATSPER1,cation channel sperm associated 1,9606.ENSP00000309052,,
1552337_s_at,HOXD4,homeobox D4,9606.ENSP00000302548,,
1552338_at,GSC,goosecoid homeobox,9606.ENSP00000238558,,
1552340_at,SP7,Sp7 transcription factor,9606.ENSP00000443827,,
1552343_s_at,PDE7A,phosphodiesterase 7A,9606.ENSP00000385632,,
1552344_s_at,CNOT7,CCR4-NOT transcription complex subunit 7,9606.ENSP00000355279,,
1552347_at,CRYZL1,crystallin zeta like 1,9606.ENSP00000370966,,
1552348_at,PRSS33,"protease, serine 33",9606.ENSP00000293851,,
1552349_a_at,PRSS33,"protease, serine 33",9606.ENSP00000293851,,
1552354_at,CBARP,CACN beta subunit associated regulatory protein,9606.ENSP00000465260,,
1552355_s_at,CBARP,CACN beta subunit associated regulatory protein,9606.ENSP00000465260,,
1552359_at,MCMDC2,minichromosome maintenance domain containing 2,9606.ENSP00000413632,,
1552360_a_at,TIRAP,TIR domain containing adaptor protein,9606.ENSP00000376445,,
1552362_a_at,LEAP2,liver enriched antimicrobial peptide 2,9606.ENSP00000296877,,
1552364_s_at,MSI2,musashi RNA binding protein 2,9606.ENSP00000284073,,
1552365_at,SCIN,scinderin,9606.ENSP00000297029,,
1552367_a_at,SCIN,scinderin,9606.ENSP00000297029,,
1552368_at,CTCFL,CCCTC-binding factor like,9606.ENSP00000415579,,
1552368_at,CTCFL,CCCTC-binding factor like,9606.ENSP00000494538,,
1552370_at,C4orf33,chromosome 4 open reading frame 33,9606.ENSP00000281146,,
1552372_at,C4orf33,chromosome 4 open reading frame 33,9606.ENSP00000281146,,
1552373_s_at,C4orf33,chromosome 4 open reading frame 33,9606.ENSP00000281146,,
1552375_at,ZNF333,zinc finger protein 333,9606.ENSP00000292530,,
1552377_s_at,TVP23C,trans-golgi network vesicle protein 23 homolog C (S. cerevisiae),9606.ENSP00000225576,,
1552377_s_at,TVP23C,trans-golgi network vesicle protein 23 homolog C (S. cerevisiae),9606.ENSP00000305654,,
1552377_s_at,TVP23C,trans-golgi network vesicle protein 23 homolog C (S. cerevisiae),9606.ENSP00000429865,,
1552378_s_at,RDH10,retinol dehydrogenase 10 (all-trans),9606.ENSP00000240285,,
1552379_at,RDH10,retinol dehydrogenase 10 (all-trans),9606.ENSP00000240285,,
1552381_at,SRSF12,serine and arginine rich splicing factor 12,9606.ENSP00000414302,,
1552383_at,FAM71A,family with sequence similarity 71 member A,9606.ENSP00000294829,,
1552384_a_at,FAM71A,family with sequence similarity 71 member A,9606.ENSP00000294829,,
1552386_at,GAPT,"GRB2-binding adaptor protein, transmembrane",9606.ENSP00000379997,,
1552388_at,SCUBE1,"uncharacterized protein FLJ30901///signal peptide, CUB domain and EGF like domain containing 1",9606.ENSP00000354080,,
1552389_at,ERICH5,glutamate rich 5,9606.ENSP00000315614,,
1552390_a_at,ERICH5,glutamate rich 5,9606.ENSP00000315614,,
1552391_at,CCDC185,coiled-coil domain containing 185,9606.ENSP00000355840,,
1552393_at,ENTHD1,ENTH domain containing 1,9606.ENSP00000317431,,
1552394_a_at,ENTHD1,ENTH domain containing 1,9606.ENSP00000317431,,
1552395_at,TSSK3,testis specific serine kinase 3,9606.ENSP00000362634,,
1552396_at,WFDC6,WAP four-disulfide core domain 6,9606.ENSP00000361755,,
1552398_a_at,CLEC12A,C-type lectin domain family 12 member A,9606.ENSP00000347916,,
1552399_a_at,BRF1,"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit",9606.ENSP00000337386,,
1552399_a_at,BRF1,"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit",9606.ENSP00000448387,,
1552400_a_at,TMEM266,transmembrane protein 266,9606.ENSP00000373594,,
1552401_a_at,BACH1,GRIK1 antisense RNA 2///BTB domain and CNC homolog 1,9606.ENSP00000259008,,
1552401_a_at,BACH1,GRIK1 antisense RNA 2///BTB domain and CNC homolog 1,9606.ENSP00000382805,,
1552402_at,CALML6,calmodulin like 6,9606.ENSP00000304643,,
1552405_at,NLRP5,NLR family pyrin domain containing 5,9606.ENSP00000375063,,
1552408_at,ODF4,outer dense fiber of sperm tails 4,9606.ENSP00000331086,,
1552409_a_at,ODF4,outer dense fiber of sperm tails 4,9606.ENSP00000331086,,
1552410_at,CLEC4F,C-type lectin domain family 4 member F,9606.ENSP00000272367,,
1552411_at,DEFB106A,defensin beta 106B///defensin beta 106A,9606.ENSP00000334364,,
1552411_at,DEFB106A,defensin beta 106B///defensin beta 106A,9606.ENSP00000335307,,
1552412_a_at,DEFB106A,defensin beta 106B///defensin beta 106A,9606.ENSP00000334364,,
1552412_a_at,DEFB106A,defensin beta 106B///defensin beta 106A,9606.ENSP00000335307,,
1552414_at,WFDC9,WAP four-disulfide core domain 9,9606.ENSP00000320532,,
1552415_a_at,WFDC9,WAP four-disulfide core domain 9,9606.ENSP00000320532,,
1552417_a_at,NEDD1,"neural precursor cell expressed, developmentally down-regulated 1",9606.ENSP00000451211,,
1552418_at,TTLL10,tubulin tyrosine ligase like 10,9606.ENSP00000368592,,
1552419_s_at,TTLL10,tubulin tyrosine ligase like 10,9606.ENSP00000368592,,
1552421_a_at,CALR3,calreticulin 3,9606.ENSP00000269881,,
1552422_at,C10orf25,chromosome 10 open reading frame 25,,,
1552423_at,ETV3,ETS variant 3,9606.ENSP00000357175,,
1552424_at,KLHL10,kelch like family member 10,9606.ENSP00000293303,,
1552425_a_at,KLHL10,kelch like family member 10,9606.ENSP00000293303,,
1552426_a_at,TM2D3,TM2 domain containing 3,9606.ENSP00000330433,,
1552427_at,ZNF485,zinc finger protein 485,9606.ENSP00000363558,,
1552430_at,WDR17,WD repeat domain 17,9606.ENSP00000280190,,
1552432_at,MFSD6L,major facilitator superfamily domain containing 6 like,9606.ENSP00000330051,,
1552436_a_at,CDH23,cadherin-23-like///cadherin-related 23,9606.ENSP00000224721,,
1552438_a_at,ANKAR,ankyrin and armadillo repeat containing,9606.ENSP00000427882,,
1552439_s_at,MEGF11,multiple EGF like domains 11,9606.ENSP00000386908,,
1552440_at,GPR182,G protein-coupled receptor 182,9606.ENSP00000300098,,
1552445_a_at,ESX1,ESX homeobox 1,9606.ENSP00000361669,,
1552448_a_at,FAM167A-AS1,FAM167A antisense RNA 1,,,
1552449_a_at,SCGB1C1,secretoglobin family 1C member 2///secretoglobin family 1C member 1,9606.ENSP00000344545,,
1552449_a_at,SCGB1C1,secretoglobin family 1C member 2///secretoglobin family 1C member 1,9606.ENSP00000471646,,
1552450_a_at,DNAJC5G,DnaJ heat shock protein family (Hsp40) member C5 gamma,9606.ENSP00000296097,,
1552452_at,WDR88,WD repeat domain 88,9606.ENSP00000348129,,
1552453_a_at,WDR88,WD repeat domain 88,9606.ENSP00000348129,,
1552455_at,PRUNE2,prune homolog 2,9606.ENSP00000365908,,
1552456_a_at,MBD3L2,methyl-CpG binding domain protein 3 like 2,9606.ENSP00000370800,,
1552457_a_at,ADAMTSL1,ADAMTS like 1,9606.ENSP00000369921,,
1552458_at,MBD3L1,methyl-CpG binding domain protein 3 like 1,9606.ENSP00000471575,,
1552459_a_at,MBD3L1,methyl-CpG binding domain protein 3 like 1,9606.ENSP00000471575,,
1552461_at,FAM46D,family with sequence similarity 46 member D,9606.ENSP00000443410,,
1552463_at,SERPINB11,serpin family B member 11 (gene/pseudogene),9606.ENSP00000485532,,
1552466_x_at,LINC00161,long intergenic non-protein coding RNA 161,,,
1552467_at,DSCR10,Down syndrome critical region 10 (non-protein coding),,,
1552468_a_at,DSCR10,Down syndrome critical region 10 (non-protein coding),,,
1552470_a_at,ABHD11,abhydrolase domain containing 11,9606.ENSP00000222800,,
1552472_a_at,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",9606.ENSP00000324287,,
1552473_at,GAMT,guanidinoacetate N-methyltransferase,9606.ENSP00000403536,,
1552474_a_at,GAMT,guanidinoacetate N-methyltransferase,9606.ENSP00000403536,,
1552476_s_at,PLCD3,phospholipase C delta 3,9606.ENSP00000479636,,
1552477_a_at,IRF6,interferon regulatory factor 6,9606.ENSP00000355988,,
1552478_a_at,IRF6,interferon regulatory factor 6,9606.ENSP00000355988,,
1552480_s_at,PTPRC,"protein tyrosine phosphatase, receptor type C",9606.ENSP00000411355,,
1552481_s_at,MAN1A2,mannosidase alpha class 1A member 2,9606.ENSP00000348959,,
1552482_at,RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,9606.ENSP00000316543,,
1552484_at,SMCR8,"Smith-Magenis syndrome chromosome region, candidate 8",9606.ENSP00000385025,,
1552485_at,LACTB,lactamase beta,9606.ENSP00000261893,,
1552486_s_at,LACTB,lactamase beta,9606.ENSP00000261893,,
1552487_a_at,BNC1,basonuclin 1,9606.ENSP00000225823,,
1552487_a_at,BNC1,basonuclin 1,9606.ENSP00000307041,,
1552489_s_at,MPP4,membrane palmitoylated protein 4,9606.ENSP00000387278,,
1552489_s_at,MPP4,membrane palmitoylated protein 4,9606.ENSP00000404121,,
1552490_at,LACE1,lactation elevated 1,9606.ENSP00000357973,,
1552491_at,IDI2,isopentenyl-diphosphate delta isomerase 2,9606.ENSP00000277517,,
1552493_s_at,CYP11B1,cytochrome P450 family 11 subfamily B member 1,9606.ENSP00000292427,,
1552494_at,TAF8,TATA-box binding protein associated factor 8,9606.ENSP00000362068,,
1552496_a_at,COBL,cordon-bleu WH2 repeat protein,9606.ENSP00000378912,,
1552497_a_at,SLAMF6,SLAM family member 6,9606.ENSP00000357036,,
1552498_at,ZSCAN20,zinc finger and SCAN domain containing 20,9606.ENSP00000355053,,
1552499_a_at,ZSCAN20,zinc finger and SCAN domain containing 20,9606.ENSP00000355053,,
1552501_a_at,GPBAR1,G protein-coupled bile acid receptor 1,9606.ENSP00000430886,,
1552502_s_at,RHBDL2,rhomboid like 2,9606.ENSP00000289248,,
1552503_at,FRAS1,Fraser extracellular matrix complex subunit 1,9606.ENSP00000280481,,
1552503_at,FRAS1,Fraser extracellular matrix complex subunit 1,9606.ENSP00000332886,,
1552503_at,FRAS1,Fraser extracellular matrix complex subunit 1,9606.ENSP00000412940,,
1552503_at,FRAS1,Fraser extracellular matrix complex subunit 1,9606.ENSP00000422834,,
1552504_a_at,BRSK1,BR serine/threonine kinase 1,9606.ENSP00000310649,,
1552506_at,CRB2,"crumbs 2, cell polarity complex component",9606.ENSP00000362734,,
1552507_at,KCNE4,potassium voltage-gated channel subfamily E regulatory subunit 4,9606.ENSP00000281830,,
1552508_at,KCNE4,potassium voltage-gated channel subfamily E regulatory subunit 4,9606.ENSP00000281830,,
1552509_a_at,CD300LG,CD300 molecule like family member g,9606.ENSP00000321005,,
1552510_at,SLC34A3,solute carrier family 34 member 3,9606.ENSP00000442397,,
1552511_a_at,CPA6,carboxypeptidase A6,9606.ENSP00000297770,,
1552511_a_at,CPA6,carboxypeptidase A6,9606.ENSP00000301141,,
1552514_at,WBP2NL,WBP2 N-terminal like,9606.ENSP00000332983,,
1552515_at,HIPK1,homeodomain interacting protein kinase 1,9606.ENSP00000407442,,
1552516_a_at,HIPK1,homeodomain interacting protein kinase 1,9606.ENSP00000407442,,
1552518_s_at,MTBP,MDM2 binding protein,9606.ENSP00000303398,,
1552519_at,ACVR1C,activin A receptor type 1C,9606.ENSP00000243349,,
