pathway_id,pathway_name,description_tmp,combined_text,UMLS_ID,UMLS_score,UMLS_mapping_method
hsa04730,Long-term depression,,Long-term depression.,C0011570,0.9696047902107239,scispacy_best_score
hsa04723,Retrograde endocannabinoid signaling,,Retrograde endocannabinoid signaling.,C3156138,0.8372299075126648,scispacy_best_score
hsa04721,Synaptic vesicle cycle,,Synaptic vesicle cycle.,C0682685,0.8032452464103699,scispacy_best_score
hsa04722,Neurotrophin signaling pathway,,Neurotrophin signaling pathway.,C2984256,0.9785104393959045,scispacy_best_score
hsa04744,Phototransduction,,Phototransduction.,C0376451,0.9524785280227661,scispacy_best_score
hsa04740,Olfactory transduction,,Olfactory transduction.,C1160185,0.706745445728302,scispacy_best_score
hsa04742,Taste transduction,,Taste transduction.,C1160185,0.785503625869751,scispacy_best_score
hsa04750,Inflammatory mediator regulation of TRP channels,,Inflammatory mediator regulation of TRP channels.,C0243042,0.7989616990089417,scispacy_best_score
hsa04360,Axon guidance,,Axon guidance.,C2984268,0.9663011431694031,scispacy_best_score
hsa04380,Osteoclast differentiation,,Osteoclast differentiation.,C0007589,0.9643165469169617,scispacy_best_score
hsa04382,Cornified envelope formation,,Cornified envelope formation.,C3894722,0.9676291346549988,scispacy_best_score
hsa04211,Longevity regulating pathway,,Longevity regulating pathway.,,0.0,scispacy_best_score
hsa04213,Longevity regulating pathway,,Longevity regulating pathway.,,0.0,scispacy_best_score
hsa04710,Circadian rhythm,,Circadian rhythm.,C0008810,0.9812514781951904,scispacy_best_score
hsa04713,Circadian entrainment,,Circadian entrainment.,C0008810,0.8285465836524963,scispacy_best_score
hsa04714,Thermogenesis,,Thermogenesis.,C0018841,0.984782338142395,scispacy_best_score
hsa05200,Pathways in cancer,,Pathways in cancer.,C1704259,0.9816257953643799,scispacy_best_score
hsa05202,Transcriptional misregulation in cancer,,Transcriptional misregulation in cancer.,C0040649,0.9682933688163757,scispacy_best_score
hsa05206,MicroRNAs in cancer,,MicroRNAs in cancer.,C1101610,0.9896718263626099,scispacy_best_score
hsa05205,Proteoglycans in cancer,,Proteoglycans in cancer.,C0033692,0.9632309675216675,scispacy_best_score
hsa05204,Chemical carcinogenesis,,Chemical carcinogenesis.,C0596321,0.9848692417144775,scispacy_best_score
hsa05207,Chemical carcinogenesis,,Chemical carcinogenesis.,C0596321,0.9848692417144775,scispacy_best_score
hsa05208,Chemical carcinogenesis,,Chemical carcinogenesis.,C0596321,0.9848692417144775,scispacy_best_score
hsa05203,Viral carcinogenesis,,Viral carcinogenesis.,C0597645,0.9844970703125,scispacy_best_score
hsa05230,Central carbon metabolism in cancer,,Central carbon metabolism in cancer.,C1158831,0.7619501352310181,scispacy_best_score
hsa05231,Choline metabolism in cancer,,Choline metabolism in cancer.,C1156927,0.9890175461769104,scispacy_best_score
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,,PD-L1 expression and PD-1 checkpoint pathway in cancer.,C1155874,0.7236654758453369,scispacy_best_score
hsa05210,Colorectal cancer,,Colorectal cancer.,C0009402,0.9869279861450195,scispacy_best_score
hsa05212,Pancreatic cancer,,Pancreatic cancer.,C0235974,0.9861518740653992,scispacy_best_score
hsa05225,Hepatocellular carcinoma,,Hepatocellular carcinoma.,C2239176,0.9887154698371887,scispacy_best_score
hsa05226,Gastric cancer,,Gastric cancer.,C0024623,0.9910800457000732,scispacy_best_score
hsa05214,Glioma,,Glioma.,C0017638,0.9843782782554626,scispacy_best_score
hsa05216,Thyroid cancer,,Thyroid cancer.,C0007115,0.9859957098960876,scispacy_best_score
hsa05221,Acute myeloid leukemia,,Acute myeloid leukemia.,C0023467,0.9770968556404114,scispacy_best_score
hsa05220,Chronic myeloid leukemia,,Chronic myeloid leukemia.,C0023473,0.9767453670501709,scispacy_best_score
hsa05217,Basal cell carcinoma,,Basal cell carcinoma.,C0007117,0.9839929938316345,scispacy_best_score
hsa05218,Melanoma,,Melanoma.,C0025202,0.9899237751960754,scispacy_best_score
hsa05211,Renal cell carcinoma,,Renal cell carcinoma.,C0007134,0.9872101545333862,scispacy_best_score
hsa05219,Bladder cancer,,Bladder cancer.,C0005684,0.969292402267456,scispacy_best_score
hsa05215,Prostate cancer,,Prostate cancer.,C0376358,0.9910537004470825,scispacy_best_score
hsa05213,Endometrial cancer,,Endometrial cancer.,C0007103,0.9905624985694885,scispacy_best_score
hsa05224,Breast cancer,,Breast cancer.,C0006142,0.9908878207206726,scispacy_best_score
hsa05222,Small cell lung cancer,,Small cell lung cancer.,C0262584,0.838288426399231,scispacy_best_score
hsa05223,Non-small cell lung cancer,,Non-small cell lung cancer.,C0007131,0.9687209129333496,scispacy_best_score
hsa05166,Human T-cell leukemia virus 1 infection,,Human T-cell leukemia virus 1 infection.,C0020094,0.7939899563789368,scispacy_best_score
hsa05170,Human immunodeficiency virus 1 infection,,Human immunodeficiency virus 1 infection.,C0276500,0.9811710119247437,scispacy_best_score
hsa05161,Hepatitis B,,Hepatitis B.,C0019158,0.8899069428443909,scispacy_best_score
hsa05160,Hepatitis C,,Hepatitis C.,C0019158,0.8899069428443909,scispacy_best_score
hsa05171,Coronavirus disease,,Coronavirus disease.,C5203670,0.8840354084968567,scispacy_best_score
hsa05164,Influenza A,,Influenza A.,C0021400,0.8885748982429504,scispacy_best_score
hsa05162,Measles,,Measles.,C0025007,0.9426764249801636,scispacy_best_score
hsa05168,Herpes simplex virus 1 infection,,Herpes simplex virus 1 infection.,C0019348,0.9543876051902771,scispacy_best_score
hsa05163,Human cytomegalovirus infection,,Human cytomegalovirus infection.,C0010823,0.883490264415741,scispacy_best_score
hsa05167,Kaposi sarcoma-associated herpesvirus infection,,Kaposi sarcoma-associated herpesvirus infection.,C0376526,0.8680238127708435,scispacy_best_score
hsa05169,Epstein-Barr virus infection,,Epstein-Barr virus infection.,C0149678,0.9507981538772583,scispacy_best_score
hsa05165,Human papillomavirus infection,,Human papillomavirus infection.,C0343641,0.9682168364524841,scispacy_best_score
hsa05110,Vibrio cholerae infection,,Vibrio cholerae infection.,C0008354,0.9724916815757751,scispacy_best_score
hsa05120,Epithelial cell signaling in Helicobacter pylori infection,,Epithelial cell signaling in Helicobacter pylori infection.,C0850666,0.9704588651657104,scispacy_best_score
hsa05130,Pathogenic Escherichia coli infection,,Pathogenic Escherichia coli infection.,C0014836,0.973621666431427,scispacy_best_score
hsa05132,Salmonella infection,,Salmonella infection.,C0036117,0.9758048057556152,scispacy_best_score
hsa05131,Shigellosis,,Shigellosis.,C0013371,0.9820733070373535,scispacy_best_score
hsa05135,Yersinia infection,,Yersinia infection.,C0043407,0.9618536829948425,scispacy_best_score
hsa05133,Pertussis,,Pertussis.,C0031237,0.969104528427124,scispacy_best_score
hsa05134,Legionellosis,,Legionellosis.,C0023240,0.9799297451972961,scispacy_best_score
hsa05150,Staphylococcus aureus infection,,Staphylococcus aureus infection.,C1318973,0.965631902217865,scispacy_best_score
hsa05152,Tuberculosis,,Tuberculosis.,C0041296,0.9882162809371948,scispacy_best_score
hsa05100,Bacterial invasion of epithelial cells,,Bacterial invasion of epithelial cells.,C0014597,0.9835145473480225,scispacy_best_score
hsa05146,Amoebiasis,,Amoebiasis.,C0002438,0.9734756350517273,scispacy_best_score
hsa05144,Malaria,,Malaria.,C0024530,0.9963779449462891,scispacy_best_score
hsa05145,Toxoplasmosis,,Toxoplasmosis.,C0040558,0.974433183670044,scispacy_best_score
hsa05140,Leishmaniasis,,Leishmaniasis.,C0023281,0.9664987921714783,scispacy_best_score
hsa05142,Chagas disease,,Chagas disease.,C0041234,0.9858316779136658,scispacy_best_score
hsa05143,African trypanosomiasis,,African trypanosomiasis.,C0041228,0.9797780513763428,scispacy_best_score
hsa05310,Asthma,,Asthma.,C0004096,0.970723569393158,scispacy_best_score
hsa05322,Systemic lupus erythematosus,,Systemic lupus erythematosus.,C0024141,0.9638179540634155,scispacy_best_score
hsa05323,Rheumatoid arthritis,,Rheumatoid arthritis.,C0003873,0.9790905117988586,scispacy_best_score
hsa05320,Autoimmune thyroid disease,,Autoimmune thyroid disease.,C0178468,0.978166937828064,scispacy_best_score
hsa05321,Inflammatory bowel disease,,Inflammatory bowel disease.,C0021390,0.9786965250968933,scispacy_best_score
hsa05330,Allograft rejection,,Allograft rejection.,C3898833,0.791313648223877,scispacy_best_score
hsa05332,Graft-versus-host disease,,Graft-versus-host disease.,C0018133,0.948434054851532,scispacy_best_score
hsa05340,Primary immunodeficiency,,Primary immunodeficiency.,C0398686,0.9917218089103699,scispacy_best_score
hsa05010,Alzheimer disease,,Alzheimer disease.,C0002395,0.9341862797737122,scispacy_best_score
hsa05012,Parkinson disease,,Parkinson disease.,C0030567,0.9666261076927185,scispacy_best_score
hsa05014,Amyotrophic lateral sclerosis,,Amyotrophic lateral sclerosis.,C0002736,0.972338080406189,scispacy_best_score
hsa05016,Huntington disease,,Huntington disease.,C0020179,0.9512561559677124,scispacy_best_score
hsa05017,Spinocerebellar ataxia,,Spinocerebellar ataxia.,C0087012,0.9743784070014954,scispacy_best_score
hsa05020,Prion disease,,Prion disease.,C0162534,0.9767230153083801,scispacy_best_score
hsa05022,Pathways of neurodegeneration,,Pathways of neurodegeneration.,C0027746,0.964983344078064,scispacy_best_score
hsa05030,Cocaine addiction,,Cocaine addiction.,C0600427,0.951047956943512,scispacy_best_score
hsa05031,Amphetamine addiction,,Amphetamine addiction.,C0236804,0.9646731019020081,scispacy_best_score
hsa05032,Morphine addiction,,Morphine addiction.,C0085281,0.9408780932426453,scispacy_best_score
hsa05033,Nicotine addiction,,Nicotine addiction.,C0085281,0.9408780932426453,scispacy_best_score
hsa05034,Alcoholism,,Alcoholism.,C0001973,0.988982081413269,scispacy_best_score
hsa05417,Lipid and atherosclerosis,,Lipid and atherosclerosis.,C0003850,0.9951414465904236,scispacy_best_score
hsa05418,Fluid shear stress and atherosclerosis,,Fluid shear stress and atherosclerosis.,C1171318,0.818509578704834,scispacy_best_score
hsa05410,Hypertrophic cardiomyopathy,,Hypertrophic cardiomyopathy.,C0007194,0.9820762276649475,scispacy_best_score
hsa05412,Arrhythmogenic right ventricular cardiomyopathy,,Arrhythmogenic right ventricular cardiomyopathy.,C0349788,0.9759802222251892,scispacy_best_score
hsa05414,Dilated cardiomyopathy,,Dilated cardiomyopathy.,C0007193,0.9803040027618408,scispacy_best_score
hsa05415,Diabetic cardiomyopathy,,Diabetic cardiomyopathy.,C0853897,0.9795587658882141,scispacy_best_score
hsa05416,Viral myocarditis,,Viral myocarditis.,C0276138,0.9740703105926514,scispacy_best_score
hsa04930,Type II diabetes mellitus,,Type II diabetes mellitus.,C0011860,0.9810224771499634,scispacy_best_score
hsa04940,Type I diabetes mellitus,,Type I diabetes mellitus.,C0011854,0.9797846674919128,scispacy_best_score
hsa04950,Maturity onset diabetes of the young,,Maturity onset diabetes of the young.,C0205286,0.9966276288032532,scispacy_best_score
hsa04936,Alcoholic liver disease,,Alcoholic liver disease.,C0023896,0.9780075550079346,scispacy_best_score
hsa04932,Non-alcoholic fatty liver disease,,Non-alcoholic fatty liver disease.,C0400966,0.9748370051383972,scispacy_best_score
hsa04931,Insulin resistance,,Insulin resistance.,C0021655,0.9827665686607361,scispacy_best_score
hsa04933,AGE-RAGE signaling pathway in diabetic complications,,AGE-RAGE signaling pathway in diabetic complications.,C0037083,0.7642926573753357,scispacy_best_score
hsa04934,Cushing syndrome,,Cushing syndrome.,C0010481,0.979058563709259,scispacy_best_score
hsa01521,EGFR tyrosine kinase inhibitor resistance,,EGFR tyrosine kinase inhibitor resistance.,C0033681,0.8651549220085144,scispacy_best_score
hsa01524,Platinum drug resistance,,Platinum drug resistance.,C0013203,0.7851064205169678,scispacy_best_score
hsa01523,Antifolate resistance,,Antifolate resistance.,C1514892,0.7041072845458984,scispacy_best_score
hsa01522,Endocrine resistance,,Endocrine resistance.,C1514892,0.7223988175392151,scispacy_best_score
